target,horizon_weeks,model,n,mae,rmse,smape,directional_accuracy
anp_ethanol_mt_net_l,4,A_target_seasonality,20,0.19075434452183324,0.21849451338551462,0.05635065363320733,0.7894736842105263
anp_ethanol_mt_net_l,4,B_plus_gasoline,20,0.18624015942095104,0.21438928856340225,0.05495083739741176,0.7368421052631579
anp_ethanol_mt_net_l,4,C_plus_brent,20,0.14913298982492326,0.17561762070864861,0.043757794294019756,0.6842105263157895
anp_ethanol_mt_net_l,4,D_plus_usd_brl,20,0.13731701918030062,0.15954473610558673,0.03985889705142996,0.7368421052631579
anp_ethanol_mt_net_l,12,A_target_seasonality,18,0.2999585792227284,0.3485710380547383,0.08994117179523041,0.6470588235294118
anp_ethanol_mt_net_l,12,B_plus_gasoline,18,0.2986175157206444,0.34819433696767804,0.0894145557729567,0.5882352941176471
anp_ethanol_mt_net_l,12,C_plus_brent,18,0.24214684697127822,0.26892270252209005,0.0718011408041845,0.7058823529411765
anp_ethanol_mt_net_l,12,D_plus_usd_brl,18,0.21981019079786976,0.24188569884845515,0.06311535867082353,0.5294117647058824
anp_ethanol_mt_net_l,26,A_target_seasonality,14,0.25027983461282566,0.27979470684781693,0.07275469399830603,0.46153846153846156
anp_ethanol_mt_net_l,26,B_plus_gasoline,14,0.2724937160052015,0.29994932941387786,0.07945054038873632,0.46153846153846156
anp_ethanol_mt_net_l,26,C_plus_brent,14,0.2321427277599229,0.2699608283642364,0.06756472173463579,0.38461538461538464
anp_ethanol_mt_net_l,26,D_plus_usd_brl,14,0.212165650630686,0.2517980025850948,0.060805790957700626,0.23076923076923078
anp_ethanol_mt_net_l,52,A_target_seasonality,8,0.20964900771437178,0.23206418991338293,0.059887216672431284,0.2857142857142857
anp_ethanol_mt_net_l,52,B_plus_gasoline,8,0.20410899474309308,0.2395857812337485,0.05831780027530589,0.42857142857142855
anp_ethanol_mt_net_l,52,C_plus_brent,8,0.15229953332444024,0.17249666848922637,0.0433355767830514,0.5714285714285714
anp_ethanol_mt_net_l,52,D_plus_usd_brl,8,0.18923153960102873,0.2139077091575683,0.054786817183613085,0.7142857142857143
