date,target,scenario,forecast
2026-10-23,cepea_ethanol_mt_net_m3,upside_macro,2547.6035394385735
2026-10-30,cepea_ethanol_mt_net_m3,upside_macro,2554.850832000535
2026-11-06,cepea_ethanol_mt_net_m3,upside_macro,2570.9946082978418
2026-11-13,cepea_ethanol_mt_net_m3,upside_macro,2584.168418536817
2026-11-20,cepea_ethanol_mt_net_m3,upside_macro,2598.322381903613
2026-11-27,cepea_ethanol_mt_net_m3,upside_macro,2611.734093607899
2026-12-04,cepea_ethanol_mt_net_m3,upside_macro,2597.4001158124147
2026-12-11,cepea_ethanol_mt_net_m3,upside_macro,2594.334220187585
2026-12-18,cepea_ethanol_mt_net_m3,upside_macro,2591.0575559525523
2026-12-25,cepea_ethanol_mt_net_m3,upside_macro,2587.6831636974707
2027-01-01,cepea_ethanol_mt_net_m3,upside_macro,2593.3352943102946
2027-01-08,cepea_ethanol_mt_net_m3,upside_macro,2597.2969857746934
2027-01-15,cepea_ethanol_mt_net_m3,upside_macro,2601.517270831222
2027-01-22,cepea_ethanol_mt_net_m3,upside_macro,2605.7718480826406
2027-01-29,cepea_ethanol_mt_net_m3,upside_macro,2608.7247730699155
2027-02-05,cepea_ethanol_mt_net_m3,upside_macro,2614.6312348273664
2027-02-12,cepea_ethanol_mt_net_m3,upside_macro,2616.5779711609
2027-02-19,cepea_ethanol_mt_net_m3,upside_macro,2616.4502121713263
2027-02-26,cepea_ethanol_mt_net_m3,upside_macro,2613.9018835392303
2027-03-05,cepea_ethanol_mt_net_m3,upside_macro,2610.071213070589
2027-03-12,cepea_ethanol_mt_net_m3,upside_macro,2605.8132597638855
2027-03-19,cepea_ethanol_mt_net_m3,upside_macro,2601.1423371054616
2027-03-26,cepea_ethanol_mt_net_m3,upside_macro,2594.954606343527
2027-04-02,cepea_ethanol_mt_net_m3,upside_macro,2617.654052428065
2027-04-09,cepea_ethanol_mt_net_m3,upside_macro,2625.002828298956
2027-04-16,cepea_ethanol_mt_net_m3,upside_macro,2630.0311486258156
2027-04-23,cepea_ethanol_mt_net_m3,upside_macro,2628.2373849314135
2026-05-01,cepea_ethanol_mt_net_m3,downside_macro,2695.2920836045196
2026-05-08,cepea_ethanol_mt_net_m3,downside_macro,2577.5300855010364
2026-05-15,cepea_ethanol_mt_net_m3,downside_macro,2499.3483180278354
2026-05-22,cepea_ethanol_mt_net_m3,downside_macro,2441.108105785224
2026-05-29,cepea_ethanol_mt_net_m3,downside_macro,2388.6606816201065
2026-06-05,cepea_ethanol_mt_net_m3,downside_macro,2384.1036625792008
2026-06-12,cepea_ethanol_mt_net_m3,downside_macro,2362.675465913565
2026-06-19,cepea_ethanol_mt_net_m3,downside_macro,2342.3422063676885
2026-06-26,cepea_ethanol_mt_net_m3,downside_macro,2323.206826424398
2026-07-03,cepea_ethanol_mt_net_m3,downside_macro,2294.8079890715703
2026-07-10,cepea_ethanol_mt_net_m3,downside_macro,2269.51323065374
2026-07-17,cepea_ethanol_mt_net_m3,downside_macro,2244.276035088978
2026-07-24,cepea_ethanol_mt_net_m3,downside_macro,2221.1439566160325
2026-07-31,cepea_ethanol_mt_net_m3,downside_macro,2200.6739752633544
2026-08-07,cepea_ethanol_mt_net_m3,downside_macro,2178.7943769855046
2026-08-14,cepea_ethanol_mt_net_m3,downside_macro,2162.7364794121295
2026-08-21,cepea_ethanol_mt_net_m3,downside_macro,2150.486222534135
2026-08-28,cepea_ethanol_mt_net_m3,downside_macro,2140.441588098193
2026-09-04,cepea_ethanol_mt_net_m3,downside_macro,2134.0669135377725
2026-09-11,cepea_ethanol_mt_net_m3,downside_macro,2129.3480156600294
2026-09-18,cepea_ethanol_mt_net_m3,downside_macro,2125.849946746166
2026-09-25,cepea_ethanol_mt_net_m3,downside_macro,2122.6077759629256
2026-10-02,cepea_ethanol_mt_net_m3,downside_macro,2124.6540028626537
2026-10-09,cepea_ethanol_mt_net_m3,downside_macro,2125.324837773444
2026-10-16,cepea_ethanol_mt_net_m3,downside_macro,2127.744921880259
2026-10-23,cepea_ethanol_mt_net_m3,downside_macro,2131.619006962548
2026-10-30,cepea_ethanol_mt_net_m3,downside_macro,2137.0979928813435
2026-11-06,cepea_ethanol_mt_net_m3,downside_macro,2151.577923516618
2026-11-13,cepea_ethanol_mt_net_m3,downside_macro,2163.1879983047197
2026-11-20,cepea_ethanol_mt_net_m3,downside_macro,2175.873360820396
2026-11-27,cepea_ethanol_mt_net_m3,downside_macro,2187.9052428630894
2026-12-04,cepea_ethanol_mt_net_m3,downside_macro,2172.274498952478
